ID,CALL,CN,TYPE
06D017F6,G-KXMS,TC,Ventus 2cxT
06D01833,VH-KTC,TC,ASW-28
06D02733,LV-DPM,TC,ASW-20
06DD4FA0,F-CEIR,TC,LS-4
06DD8380,D-2788,TC,SZD-51 Junior
06DDE1AB,OH-704,TC,ASK-23
06DDE20E,D-0118,TC,DG-300
06DDE824,I-C534,TC,Ultralight
06DDEA53,F-CHTC,TC,Duo Discus
06DDECE7,OK-0088,TC,LS-8 st
06DDEEA7,D-KCTC,TC,ASG-29E
06DDF11D,F-CBIZ,TC,Ventus 2
06DDF971,F-CGTC,TC,Marianne
06DF13FB,D-KFHD,TC,ASH-26 E
06DF1889,,TC,ASH-26 E
0633858D,D-2771,AR,LS-1 f
063EDE05,D-KZAR,AR,ASH-26 E
063EEC16,D-2943,AR,LS-8
06402706,g-char,AR,Motorglider
06406968,G-SMAR,AR,Arcus M
06465BCE,OH-1022,AR,Mini Nimbus
064B4E9F,HB-2552,AR,ASH-31 MI
06C42410,SP-STAR,AR,Towplane
06D004A7,OK-0976,AR,Cirrus Std
06D0050B,D-KARI,AR,ASG-32 MI
06D00CA6,D-KSAR,AR,Ventus 2cxM
06D00D41,ZS-GRT,AR,JS-1 Revelation
06D01F93,LY-VAR,AR,ASG-29E
06D028E9,OK-2969,AR,Arcus M
06DD0029,D-4638,AR,ASH-25
06DD50E0,F-GSBL,AR,Unknown
06DD83E5,D-6276,AR,Twin Astir III
06DD862D,OE-5177,AR,Twin Astir II
06DD8750,D-2943,AR,LS-8
06DD8A63,I-AVAR,AR,DG-300
06DD9BDA,D-KGAR,AR,SF-25
06DD9F1F,D-6686,AR,LS-6
06DDA3DB,,AR,Glasflugel 304
06DDA4B6,OH-1022,AR,Mini Nimbus
06DDA619,D-4436,AR,ASK-21
06DDAFA2,D-EZAR,AR,Husky A-1
06DDB06F,D 4716,AR,Ka-6 e
06DDB630,D-2944,AR,LS-8
06DDDA89,F-CFAR,AR,Janus C
06DDE2E1,OY-SLX,AR,DG-300
06232332,OK-8656,BE,ASW-15
063919FB,F-CUBE,BE,SZD-54 Perkoz
063E712E,D-KIBE,BE,Nimbus 3DM
063E7676,D-KKBE,BE,DG-808 C
063E7BBE,D-KMBE,BE,Ventus 2cM
064B5115,HB-3182,BE,LS-8a
06A33971,N307BE,BE,ASH-30
06B60F74,BE,BE,Ground Station
06C82950,ZK-GBE,BE,Ventus 3F
06D00391,D-KIBE,BE,Nimbus 3DM
06D0271F,HB-3182,BE,LS-8a
06DD504F,F-CJBE,BE,Alliance 34
06DD9A61,D-XXBE,BE,ASK-21
06DDA9E9,D-3195,BE,Mini Nimbus
06DDAE48,OK-2334,BE,ASW-15
06DDDEEA,I-IVBE,BE,Astir CS-77
06DDEEAF,OY-XBE,BE,Ventus ct
06DDEF01,D-KBBE,BE,Arcus T
06DF24FA,D-KILE,BE,DG-600
063E7C1C,D-KMEU,EU,Nimbus 4DM
064FDC85,D-0004,EU,ASW-27
0653364D,D-0004,EU,ASW-27
06D0018B,OK-8977,EU,LS-8
06D0153D,D-7950,EU,LS-4
06DD8DED,F-CGEU,EU,Pegase
06DD9300,D-9349,EU,Mosquito
06DD9352,EU,EU,Libelle Std
06DDB1BB,F-CIEU,EU,Janus Ce
06DDDAE2,SE-UEU,EU,LS-4
06DDDD89,SE-UEU,EU,LS-4
060D5729,D-5729,FX,DG-300
0620155B,Frank,FX,Paraglider
063AD63F,D-6993,FX,LS-6
